JobType;FreqJobPlace;FreqJobPlace.Dummy;TimesWeekJob;TransportModes1;TransportModes2;TransportModes3;TransportModes4;TransportModes5;SustUser;VRU;BVTECH;Foot.PerformanceRisk;Bike.PerformanceRisk;eScooter.PerformanceRisk;Car.PerformanceRisk;Foot.SocialRisk;Bike.SocialRisk;eScooter.SocialRisk;Car.SocialRisk;Foot.PhysicalRisk;Bike.PhysicalRisk;eScooter.PhysicalRisk;Car.PhysicalRisk;Foot.FinancialRisk;Bike.FinancialRisk;eScooter.FinancialRisk;Car.FinancialRisk;Foot.TimeLossRisk;Bike.TimeLossRisk;eScoooter.TimeLossRisk;Car.TimeLossRisk;Foot.SavingTime.PerceivedUsefulness;Bike.SavingTime.PerceivedUsefulness;eScooter.SavingTime.PerceivedUsefulness;Foot.SavingMoney.PerceivedUsefulness;Bike.SavingMoney.PerceivedUsefulness;eScooter.SavingMoney.PerceivedUsefulness;Foot.FeelsGood.PerceivedUsefulness;Bike.FeelsGood.PerceivedUsefulness;eScooter.FeelsGood.PerceivedUsefulness;Foot.Healthy.PerceivedUsefulness;Bike.Healthy.PerceivedUsefulness;eScooter.Healthy.PerceivedUsefulness;Walk.Risk.LowLight;Walk.Risk.Crossway;Walk.Risk.BadRoads;Walk.Risk.Speed;Walk.RiskSecurity;Bike.Risk.LowLight;Bike.RiskBadRoads;Bike.Risk.Speed;Bike.Risk.lightTraffic;Bike.Risk.Security;Bike.Risk.Thief;Walk.EasetoUse;Bike.EasetoUse;Escooter.EasetoUse;WhereJob;StartPointJob;SameCityJob;Walk.IntentionToUse;Bike.IntentionToUse;Escooter.IntentionToUse;Walk.ActualUse.;Bike.ActualUse;Escooter.ActualUse;Walk.BikeWays.Intention;Bike.BikeWays.Intention;eScooter.BikeWays.Intention;Walk.Limit30.Intention;Bike.Limit30.Intention;eScooter.Limit30.Intention;Walk.RoadHump.Intention;Bike.Parking.Intention;eScooter.Parking.Intention;Bike.Sharing.Intention;eScooter.Sharing.Intention;Foot.PublicTransport.Bis.Intention;Bike.PublicTransport.Bis.Intention;eScooter.PublicTransport.Bis.Intention;Foot.Bis.ActualUse;Bike.Bis.ActualUse;eScooter.Bis.ActualUse;Foot.BikeWays.Bis.Intention;Bike.BikeWays.Bis.Intention;eScooter.BikeWays.Bis.Intention;Foot.Limit30.Bis.IntetiontoUse;Bike.Limit30.Bis.IntetiontoUse;eScooter.Limit30.Bis.IntentiontoUse;Foot.HumpRoad.Bis.IntetiontoUse;Bike.Parking.Bis.IntetiontoUse;eScooter.Parking.Bis.IntetiontoUse;Bike.Sharing.Bis.Intention;eScooter.Sharing.Bis.Intention;Sentiment.UseCar;Sentiment.UseCar.Dummy;Sentiment.MoreTime;Sentiment.MoreTime.Dummy;Sentiment.CarHome;Sentiment.CarHome.Dummy;Sentiment.LikeBike;Sentiment.LikeBike.Dummy;Sentiment.RecommendPublicTransport;Sentiment.RecommendPublicTransport.Dummy;ITAGender;Gender;BirthYear;Age;LivingPlace;ItaCitizen;ITACitizenShip;OtherCitizen;BirthPlace;Education;EducationYears;QualityLifeAreaVote;AccesibilityPublTransp;RoadSlopeITA;RoadSlope;Car.Owner;MotorBike.Owner;Bike.Owner;eBike.Owner;eScooter.Owner;Ability.Ride;eScooter.Experience;eBike.Experience;DrivingLicense;SameCityJob2;Rome
Lavoro;Numero di volte;2;2;Treno; ; ; ; ;yes;yes;Public;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;Roma;Roma;yes;2;2;2;50;50;50;3;3;3;3;3;3;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;4;1;4;1;3;1;1;0;Donna;Female;1994;30; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;3;1;Prevalentemente pianeggiante;Flat;Sì;No;No;Sì;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Bus/Tram; ; ; ; ;yes;yes;Public;5;3;1;3;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;2;2;2;2;5;3;2;5;4;1;5;5;1;3;2;3;3;3;5;4;4;3;2;4;5;2;2;Roma;Roma;yes;5;1;1;100;0;0;4;5;1;5;3;3;4;3;3;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;4;1;2;0;2;0;Donna;Female;1991;33; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;5;3;Prevalentemente pianeggiante;Flat;Sì;No;No;No;No;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;4;Moto/scooter; ; ; ; ;no;yes;Private;0;0;0;4;0;0;0;0;0;3;3;2;0;0;3;3;0;2;2;5;3;3;3;5;5;5;4;4;4;4;4;4;5;5;5;5;1;5;5;5;2;1;2;5;3;3;Roma;Roma;yes;1;2;2;1;1;1;4;4;4;4;4;4;4;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;4;1;4;1;3;1;3;1;Uomo;Male;1989;35; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;2;3;Prevalentemente pianeggiante;Flat;Sì;Sì;Sì;No;No;Sì;Sì;No;Sì;yes;Rome
Lavoro;Numero di volte;2;6;Auto; ; ; ; ;no;no;Private;2;2;2;0;0;0;0;0;3;3;3;1;0;0;0;4;2;2;2;0;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;4;4;4;4;0;0;0;Roma;Guidonia;no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;3;1;1;0;2;0;2;0;Uomo;Male;2001;23; ;Sì;yes; ;Roma;Media superiore;13;4;1;Prevalentemente pianeggiante;Flat;Sì;Sì;Sì;No;No;Sì;Sì;Sì;Sì;no;Not Rome
Lavoro e studio;Numero di volte;2;5;Metro; ; ; ; ;yes;yes;Public;3;3;2;4;0;0;0;3;4;4;4;4;0;0;0;3;1;1;1;4;4;4;4;5;5;5;5;5;5;5;5;5;4;4;5;5;5;4;5;5;5;5;4;4;3;3;Roma;Roma;yes;4;4;4;100;0;0;5;5;5;5;5;5;5;5;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;4;1;3;1;4;1;4;1;Donna;Female;1998;26; ;Sì;yes; ;Roma;Media superiore;13;4;3;Caratterizzata da piccole salite;Easy climbs;Sì;No;Sì;No;Sì;Sì;Sì;No;Sì;yes;Rome
Lavoro;Numero di volte;2;4;Moto/scooter; ; ; ; ;no;yes;Private;2;2;2;2;1;1;1;1;2;2;2;2;1;1;1;4;3;3;3;3;1;1;1;5;5;5;3;3;3;4;4;4;5;5;5;5;5;5;5;5;5;5;5;2;2;2;Roma;Roma;yes;2;2;2;1;1;1;3;3;3;2;2;2;2;3;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;3;1;1;0;2;0;4;1;Uomo;Male;1993;31; ;Sì;yes; ;Roma;Media superiore;13;3;5;Caratterizzata da forti pendenze;Steep slopes;Sì;Sì;Sì;No;Sì;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Moto/scooter; ; ; ; ;no;yes;Private;0;0;0;0;0;0;0;0;5;5;3;3;0;0;0;4;3;3;3;4;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;0;0;Roma;Roma;yes;2;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;3;1;1;0;3;1;2;0;Uomo;Male;1991;33; ;Sì;yes; ;Chiaromonte;Laurea (triennale) di primo livello;16;0;1;Caratterizzata da piccole salite;Easy climbs;Sì;Sì;No;Sì;Sì;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;5;5;5;5;2;2;2;2;2;2;5;5;5;5;5;5;5;5;3;3;5;5;3;3;3;5;5;3;0;0;Roma;Roma;yes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;3;1;2;0;1;0;Donna;Female;1989;35; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;4;0;Prevalentemente pianeggiante;Flat;Sì;No;No;No;No;No;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;2;Metro; ; ; ; ;yes;yes;Public;0;0;2;3;2;3;2;4;2;5;5;1;0;0;0;3;2;3;3;3;0;5;5;5;5;4;4;4;4;5;5;5;4;3;4;4;3;4;4;3;3;3;4;1;2;2;Roma;Roma;yes;0;0;0;0;0;0;1;4;3;1;3;3;3;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;2;0;3;1;1;0;4;1;Donna;Female;1991;33; ;No;no;Romania;Romania;Laurea (triennale) di primo livello;16;3;4;Caratterizzata da piccole salite;Easy climbs;Sì;No;No;No;No;Sì;No;No;Sì;yes;Rome
Non lavoro e non studio; N/A;1; ; ; ; ; ; ;no;no;N/A;0;0;0;3;0;0;0;0;4;4;4;4;0;0;0;5;3;3;3;3;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5; ; ;yes;5;5;5;100;50;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;100;50;0;5;5;5;5;5;5;5;5;5;5;5;4;1;4;1;4;1;4;1;4;1;Donna;Female;1988;36;Fiano Romano;No;no;Brasile;Brasile;Laurea magistrale o successivo;18;4;2;Caratterizzata da piccole salite;Easy climbs;Sì;No;Sì;No;No;Sì;Sì;No;Sì;;
Lavoro;Numero di volte;2;5;Treno; ; ; ; ;yes;yes;Public;2;4;4;3;0;0;0;0;5;5;5;4;2;2;2;4;4;4;4;2;4;4;4;1;1;1;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;4;4;3;3;3;Roma;Ostia;no;3;3;3;100;20;0;3;3;3;4;4;4;3;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;4;1;3;1;3;1;Donna;Female;1998;26; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;4;4;Caratterizzata da piccole salite;Easy climbs;No;No;Sì;No;No;Sì;Sì;Sì;Sì;no;Not Rome
Lavoro;Numero di volte;2;6;Bus/Tram;Metro;Vado a piedi; ; ;yes;yes;VRU;0;0;0;2;0;0;0;0;3;3;3;2;0;0;2;4;0;0;0;3;3;3;3;4;4;4;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;Roma;Roma;yes;5;5;5;100;50;50;5;5;5;4;3;3;3;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;4;1;4;1;4;1;Donna;Female;1991;33; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;3;4;Prevalentemente pianeggiante;Flat;Sì;No;Sì;Sì;Sì;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;7;Auto;Moto/scooter; ; ; ;no;yes;Private;0;0;0;0;0;0;0;0;4;4;4;4;2;2;2;2;5;5;5;5;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;0;0;0;Roma;Roma;yes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;4;1;1;0;4;1;Donna;Female;1989;35; ;Sì;yes; ;Isernia;Laurea (triennale) di primo livello;16;3;5;Caratterizzata da piccole salite;Easy climbs;Sì;Sì;No;No;No;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;1;Auto; ; ; ; ;no;no;Private;1;1;4;4;1;1;1;1;5;3;5;5;0;0;0;5;2;2;3;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;3;3;4;3;Roma;Roma;yes;0;0;0;0;0;0;3;3;3;1;1;1;2;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;4;1;4;1;1;0;3;1;Donna;Female;1993;31; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;4;2;Prevalentemente pianeggiante;Flat;Sì;No;No;No;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Bus/Tram; ; ; ; ;yes;yes;Public;0;0;0;3;0;0;0;0;0;5;2;2;0;0;0;1;1;2;2;1;3;3;3;3;3;3;5;5;5;5;5;5;0;5;5;5;3;5;5;5;3;3;5;5;0;0;Roma;Roma;yes;5;0;0;100;0;0;5;5;5;5;5;5;5;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;3;1;4;1;1;0;4;1;Donna;Female;1999;25; ;Sì;yes; ;Taranto;Laurea magistrale o successivo;18;5;2;Prevalentemente pianeggiante;Flat;No;No;No;No;No;No;No;No;Sì;yes;Rome
Sono uno studente e lavoro;Numero di volte;2;4;Vado a piedi; ; ; ; ;yes;yes;VRU;0;0;0;0;0;0;0;0;1;1;2;3;0;0;1;2;3;3;3;3;2;2;2;5;5;5;1;1;1;5;5;5;4;4;5;3;2;4;4;5;5;2;2;4;3;3;Roma;Albano Laziale;no;5;4;3;100;2;0;4;4;4;1;1;1;1;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;4;1;3;1;3;1;Uomo;Male;1997;27; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;3;3;Prevalentemente pianeggiante;Flat;Sì;No;Sì;Sì;No;Sì;No;Sì;Sì;no;Not Rome
Lavoro e studio;Numero di volte;2;5;Bus/Tram;Metro; ; ; ;yes;yes;Public;2;0;0;1;0;0;0;0;0;1;1;1;0;0;0;3;4;4;4;4;1;1;1;4;3;3;3;3;3;4;4;1;1;1;1;1;2;3;3;3;3;4;4;3;3;3;Roma;Roma;yes;5;1;1;40;0;0;2;1;0;2;1;1;2;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;4;1;2;0;3;1;Donna;Female;1991;33; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;4;4;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;6;Treno; ; ; ; ;yes;yes;Public;0;0;0;5;0;0;0;3;1;3;5;2;0;0;1;3;5;4;3;2;0;1;2;5;5;2;5;4;0;5;4;0;2;3;4;5;2;0;5;3;5;3;2;1;2;3;Roma;Roma;yes;0;1;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;4;1;4;1;2;0;1;0;Uomo;Male;1989;35; ;Sì;yes; ;Lucca;Media superiore;13;4;0;Prevalentemente pianeggiante;Flat;Sì;Sì;Sì;No;No;Sì;No;No;Sì;yes;Rome
Lavoro e studio;Numero di volte;2;6;Vado a piedi; ; ; ; ;yes;yes;VRU;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;4;5;5;5;5;5;3;5;0;0;Roma;Roma;yes;5;3;3;100;0;0;5;4;4;5;4;4;5;5;5;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;4;1;3;1;4;1;Donna;Female;1995;29; ;Sì;yes; ;Velletri;Media superiore;13;5;3;Prevalentemente pianeggiante;Flat;No;No;Sì;No;No;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;4;Metro; ; ; ; ;yes;yes;Public;0;0;0;0;0;0;0;0;3;3;3;3;4;4;4;4;4;4;4;4;2;2;2;2;2;2;3;3;3;3;3;3;4;4;5;5;2;4;5;5;5;2;2;1;1;1;Tivoli;Ariccia;no;4;4;4;100;100;100;4;4;4;4;4;4;4;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;4;1;4;1;2;0;Uomo;Male;1991;33; ;Sì;yes; ;Velletri;Laurea magistrale o successivo;18;4;1;Caratterizzata da forti pendenze;Steep slopes;Sì;No;Sì;No;No;Sì;Sì;Sì;Sì;no;Not Rome
Sono uno studente e lavoro;Numero di volte;2;5;eBike (Bici Elettrica); ; ; ; ;yes;yes;VRU;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;2;4;1;1;2;0;2;2;5;3;3;3;4;4;4;4;4;0;0;1;2;2;2;2;2;3;3;4;3;3;3;Roma;Roma;yes;1;1;3;1;0;100;1;0;4;0;0;4;3;1;4;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;3;1;4;1;3;1;2;0;Donna;Female;1992;32; ;Sì;yes; ;Roma;Media superiore;13;4;3;Prevalentemente pianeggiante;Flat;No;No;Sì;Sì;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;7;Bus/Tram; ; ; ; ;yes;yes;Public;1;1;0;4;0;0;0;0;4;4;4;1;0;0;0;4;3;1;1;2;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;3;3;3;2;2;Roma;Albano Laziale;no;4;1;1;100;0;0;4;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;3;1;3;1;4;1;4;1;Donna;Female;1990;34; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;4;3;Caratterizzata da piccole salite;Easy climbs;Sì;No;No;Sì;No;Sì;No;Sì;Sì;no;Not Rome
Lavoro;Numero di volte;2;6;Auto; ; ; ; ;no;no;Private;2;2;2;2;2;2;2;2;3;3;3;3;5;5;5;5;5;5;5;5;1;1;1;5;5;5;5;5;5;5;5;5;4;4;4;4;3;4;4;4;3;3;3;0;0;0;Roma;Roma;yes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;3;1;3;1;3;1;2;0;Donna;Female;1989;35; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;3;2;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;0;Treno; ; ; ; ;yes;yes;Public;0;2;5;4;0;0;0;0;4;4;4;4;1;1;1;5;2;2;2;3;2;2;2;4;4;4;4;4;4;5;5;5;5;5;5;5;0;5;5;5;5;1;1;1;1;1;Torino;Roma;no;4;4;4;0;0;0;1;1;1;1;1;1;1;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;4;1;3;1;2;0;Uomo;Male;1990;34; ;Sì;yes; ;Roma;Media superiore;13;4;3;Prevalentemente pianeggiante;Flat;Sì;No;No;No;No;Sì;Sì;Sì;Sì;no;Rome
Lavoro e studio;Numero di volte;2;7;Bus/Tram;Metro;Treno; ; ;yes;yes;Public;2;5;5;5;0;0;0;0;5;3;3;5;0;0;0;4;0;0;0;0;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;Roma;Roma;yes;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;2;0;1;0;3;1;Donna;Female;2005;19; ;Sì;yes; ;Roma;Licenza elementare/media inferiore;8;3;2;Caratterizzata da piccole salite;Easy climbs;No;No;No;No;No;Sì;No;No;No;yes;Rome
Lavoro;Numero di volte;2;5;Treno; ; ; ; ;yes;yes;Public;1;1;1;1;1;1;1;1;5;5;5;5;3;3;3;3;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Roma;Capena;no;4;4;4;80;80;80;5;5;5;4;4;4;4;5;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;3;1;3;1;4;1;3;1;Uomo;Male;1999;25; ;Sì;yes; ;Roma;Media superiore;13;3;4;Prevalentemente pianeggiante;Flat;No;No;No;No;No;Sì;Sì;No;Sì;no;Not Rome
Lavoro;Numero di volte;2;5;Vado a piedi; ; ; ; ;yes;yes;VRU;0;2;2;4;0;0;0;0;4;4;4;1;0;0;1;4;1;3;3;4;4;3;3;5;5;5;4;3;3;5;5;5;3;3;3;3;2;4;4;4;3;3;2;3;3;3;Roma;Roma;yes;3;3;3;100;50;0;3;3;3;2;2;2;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;4;1;3;1;2;0;Uomo;Male;1993;31; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;4;3;Caratterizzata da piccole salite;Easy climbs;Sì;No;Sì;No;No;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;6;Bus/Tram;Metro;Treno; ; ;yes;yes;Public;3;4;4;3;3;3;3;3;4;4;5;4;1;1;1;4;3;3;3;3;3;3;3;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;5;5;5;4;4;4;Roma;Roma;yes;3;3;3;50;0;0;3;3;3;3;3;3;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;1;0;3;1;3;1;3;1;Uomo;Male;1989;35; ;Sì;yes; ;Roma;Media superiore;13;4;3;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Bus/Tram;Metro; ; ; ;yes;yes;Public;0;0;3;0;0;0;0;0;2;3;3;3;1;1;4;4;2;2;2;0;3;3;2;4;4;4;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;4;4;3;3;2;Roma;Roma;yes;4;1;1;100;0;0;4;3;3;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;3;1;4;1;3;1;Uomo;Male;2002;22; ;No;no;Albania;Albania;Media superiore;13;4;4;Prevalentemente pianeggiante;Flat;No;No;Sì;No;Sì;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Bus/Tram;Metro; ; ; ;yes;yes;Public;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;4;3;4;0;4;3;2;0;5;2;1;5;5;5;5;5;5;3;0;3;0;3;5;5;5;3;1;4;4;4;4;Roma;Roma;yes;5;5;5;100;100;100;0;0;0;3;3;3;5;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;4;1;1;0;3;1;Donna;Female;1994;30; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;4;5;Prevalentemente pianeggiante;Flat;No;No;No;No;No;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;7;Bici;Monopattino; ; ; ;yes;yes;VRU;0;0;0;0;0;0;0;0;5;5;5;5;2;2;2;2;0;0;0;0;5;5;5;5;5;5;4;4;4;4;4;4;4;4;5;3;3;4;5;3;3;3;5;5;5;5;Roma;Roma;yes;5;5;5;100;100;100;5;5;5;5;5;5;5;5;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;3;1;2;0;3;1;Uomo;Male;1993;31; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;4;3;Caratterizzata da piccole salite;Easy climbs;Sì;Sì;Sì;No;Sì;Sì;Sì;Sì;Sì;yes;Rome
Sono uno studente;Numero di volte;2;5;Bus/Tram;Metro;Treno; ; ;yes;yes;Public;0;0;0;0;0;0;0;0;5;5;5;5;0;0;5;5;2;2;2;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;3;3;3;Roma;Tolfa;no;0;2;2;0;0;0;0;3;3;0;3;3;0;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;4;1;3;1;3;1;Donna;Female;1997;27; ;Sì;yes; ;Civitavecchia;Media superiore;13;5;4;Caratterizzata da piccole salite;Easy climbs;Sì;No;Sì;No;No;Sì;No;No;Sì;no;Not Rome
Lavoro;Numero di volte;2;5;Monopattino; ; ; ; ;yes;yes;VRU;1;1;1;1;1;1;1;1;4;4;4;4;3;3;3;3;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Roma;Roma;yes;5;5;5;100;100;100;4;4;4;4;4;4;4;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;4;1;4;1;4;1;3;1;Uomo;Male;1998;26; ;Sì;yes; ;Roma;Media superiore;13;4;4;Caratterizzata da piccole salite;Easy climbs;No;No;No;No;Sì;Sì;Sì;No;Sì;yes;Rome
Lavoro;Numero di volte;2;7;Vado a piedi; ; ; ; ;yes;yes;VRU;0;5;5;4;0;0;0;3;4;4;4;4;1;1;1;4;3;3;3;3;3;3;3;5;5;5;4;4;4;5;5;5;4;4;4;4;4;5;5;5;5;4;4;4;0;0;Appio Latino;Roma;no;4;4;4;100;0;0;4;4;4;4;4;4;4;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;4;1;2;0;3;1;Donna;Female;1994;30; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;4;4;Caratterizzata da piccole salite;Easy climbs;Sì;No;Sì;No;No;Sì;No;No;Sì;no;Rome
Non lavoro e non studio; N/A;1; ; ; ; ; ; ;no;no;N/A;0;2;2;5;0;0;0;0;3;3;3;5;0;0;0;5;2;2;2;1;1;2;2;5;5;5;5;4;4;5;4;4;4;4;5;0;5;4;5;0;4;5;4;5;3;3; ; ;yes;5;1;1;50;0;0;5;0;0;5;0;0;5;0;0;0;0;5;1;1;50;0;0;5;0;0;5;0;0;5;0;0;0;0;2;0;3;1;1;0;1;0;2;0;Donna;Female;1999;25;Roma;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;3;4;Caratterizzata da piccole salite;Easy climbs;Sì;No;No;No;No;No;No;No;Sì;;
Sono uno studente e lavoro;Numero di volte;2;5;Auto;Bus/Tram;Vado a piedi; ; ;yes;yes;VRU;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;2;1;1;1;2;2;2;2;3;3;3;5;5;5;5;5;5;3;3;5;3;2;4;5;3;3;2;2;4;4;4;Sant'Oreste;Sant'Oreste;yes;4;2;2;30;10;0;4;2;0;4;2;0;4;2;0;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;3;1;4;1;2;0;3;1;Donna;Female;1991;33; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;4;4;Caratterizzata da forti pendenze;Steep slopes;Sì;No;Sì;No;No;Sì;No;No;Sì;yes;Not Rome
Lavoro;Numero di volte;2;2;Metro; ; ; ; ;yes;yes;Public;4;4;4;0;1;1;1;0;4;4;4;0;1;1;1;3;2;2;2;4;1;1;1;3;3;3;3;3;3;3;3;3;2;2;3;3;1;2;3;3;4;3;2;3;1;2;Roma;Roma;yes;2;2;2;50;0;0;2;2;2;3;3;3;2;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;3;1;3;1;2;0;3;1;Uomo;Male;1988;36; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;4;4;Prevalentemente pianeggiante;Flat;Sì;No;No;No;No;Sì;No;No;Sì;yes;Rome
